Subject,B1,B2,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,PR1,PR2
2_control,0.01932637639173956,0.0542350396700471,2.668341535334455e-08,3.7482347165708966e-05,1.1039148224470225e-09,4.8569997399745085e-23,0.0008536479089453543,1.852630716363212e-15,1.5075382541013592e-12,0.05570541279175535,3.0529464436113525e-18,0.004452379259901273,0.0009711421388644208,0.004904142809460371,3.147896608161082e-07,2.6899692118883164e-07,0.9318798046589911,1.1369340609571006e-10,3.1856378012205615e-11,5.611632282619997e-05,9.505408905373845e-06,1.0581859713052404e-07,2.5123525344993136e-08,
3_control,1.3321838692185646e-15,1.474685859435766e-07,2.326562499111185e-09,0.00036965812051287814,0.00010245428674998498,0.6666127405269835,5.223512305123532e-07,0.00017988666806969603,0.06111412640093422,0.2719917452797616,1.3997707661794997e-07,1.44227287983696e-13,3.136370977875567e-05,0.3410996506061006,0.00042273223110490707,7.010584102161692e-07,6.909884345632579e-11,0.0005044700608918864,4.927062049001904e-07,2.7200299328734717e-16,4.316201807440247e-07,8.933146845046924e-17,0.16871892535050398,
4_control,3.035675065174489e-20,0.2343957844838889,0.004746164676396225,1.680602240212725e-08,0.06554914677487043,0.06616761772358724,0.0036858558703053487,1.5650111210512347e-06,4.866404321030206e-08,7.369142181368298e-11,0.005451127885510322,6.937630328637066e-09,3.9807437118673215e-05,2.5306394219157824e-05,0.03688515214055367,0.0013231066944990625,0.1090491228486421,2.672699062869676e-21,5.659050459706185e-06,0.11694438749937557,0.0006767302979932106,1.6286504361580606e-12,0.005746629905357411,
5_control,3.623641198545083e-41,1.5272759271774665e-26,2.2068022646810615e-27,1.3873784871920122e-25,1.4783320755045096e-15,0.0006892655035611755,0.42515092838977286,7.2680691316296825e-06,1.736655781641247e-09,0.004301602475306091,0.021822138269458103,7.703105117160054e-05,1.125017441235114e-07,1.4820288653864157e-07,1.9187006401833497e-06,1.5351572124678173e-06,9.856831872698688e-12,1.1344616129530122e-06,0.5650663546954768,0.11737913079776184,2.3542559139961184e-24,0.3878614824888559,0.0011894062934644243,
7_control,9.205523557885458e-07,0.013803391724500746,0.2968115306453304,0.0016514767311414315,4.4334207659616454e-06,0.003913921137996149,6.938837376405954e-11,0.10980758002402594,0.0009693178818665606,0.11628639080395804,9.162050972549696e-06,0.11140956819354307,1.3150533936340458e-08,5.083397749003142e-05,0.053757464314097295,4.106413593979981e-05,0.013614731196972108,2.7333931112408486e-05,0.1854809343321924,5.4951796186527463e-05,0.11472863785663945,0.5054358768220969,6.49197460251181e-10,
11_control,0.023386669799450976,4.0236868093882374e-07,3.8502093036730004e-05,6.948997032600716e-20,1.583120165735772e-07,2.6882589304627564e-14,0.00488139621258528,0.002903560921931135,2.033453067564021e-05,0.012752892591585659,4.144602776815277e-05,0.03497845538506806,0.0010318860537808633,1.4995713320693518e-07,0.3334375351480173,0.024505968168660023,0.015119242252916434,1.967360184087188e-10,1.7268972087668767e-05,1.4667070699543615e-06,0.022277285105438374,0.9437757654771416,0.00029394399747770293,
13_control,0.2791834561910923,0.9853074084492675,0.03127932762803239,1.659578255568366e-08,0.00022495265763459646,4.37598008529731e-06,2.291436873462548e-11,8.585621742108135e-20,4.331957934397366e-12,1.973161055720996e-13,1.1710310949102142e-07,3.226806605767312e-14,0.0003881493439485613,0.9049075495047724,8.776322314974899e-12,0.05828755229542445,6.121482436638252e-08,6.290772764322669e-05,6.113964579851976e-19,3.765826681535624e-25,1.2884263224012946e-06,0.15100776473377023,0.231928435370283,
14_control,0.3503824643061936,0.5878863948624913,0.4458287672024265,6.184679071676107e-14,0.1187568103642847,0.00033352015641615034,0.22074163926449475,9.765763081780784e-13,0.0005992253448656397,0.7611989166022025,8.50656982092492e-25,0.03668347166057042,1.46632790647909e-07,1.1826997776638055e-09,0.016994069895303977,0.002215532927636685,0.15889998544353087,0.6483726694875789,0.21476424910423864,0.020867161653831897,0.0014664162377923918,4.496307116358531e-18,0.06678607130135367,
16_control,5.880381026763743e-10,0.0003209455599511108,2.2614750143289577e-09,0.17453068436433058,0.0704070152194275,9.762664015931953e-09,0.7770752136720278,0.3607980135823369,0.2941734686044378,7.026909234047825e-12,5.806751760819277e-16,0.14938182760904517,8.172365369522373e-09,0.0026926925885250876,0.02844561979590333,1.5454008880657378e-16,4.823109347488426e-08,0.023454285758993634,1.6568590846958255e-14,0.6562915525500235,0.000660764170743974,0.005686601222482206,4.9619205207038276e-18,
